Fecha-hora,PARQUE,Potencia posible,Potencia real,Temperatura ambiente,Irradiancia panel [kWh/m2],Irradiancia horizontal [kWh/m2]
2025-09-01 08:00:00,MALARGUE,0,0.194,-1,9,1.00
2025-09-01 08:10:00,MALARGUE,0.002,1.073,-1,10,4.00
2025-09-01 08:20:00,MALARGUE,0.002,2.813,-1,16,10.00
2025-09-01 08:30:00,MALARGUE,15.322,13.132,-1,28,17.00
2025-09-01 08:40:00,MALARGUE,26.341,22.806,0,99,40.00
2025-09-01 08:50:00,MALARGUE,37.305,33.354,0,161,66.00
2025-09-01 09:00:00,MALARGUE,49.569,45.81,0,226,100.00
2025-09-01 09:10:00,MALARGUE,62.317,58.552,1,298,138.00
2025-09-01 09:20:00,MALARGUE,75.749,71.006,1,370,178.00
2025-09-01 09:30:00,MALARGUE,87.998,81.335,2,442,218.00
2025-09-01 09:40:00,MALARGUE,95.852,88.008,3,514,258.00
2025-09-01 09:50:00,MALARGUE,98.629,90.47,3,565,299.00
2025-09-01 10:00:00,MALARGUE,101.521,92.495,4,588,341.00
2025-09-01 10:10:00,MALARGUE,103.228,92.553,5,608,386.00
2025-09-01 10:20:00,MALARGUE,103.896,92.553,6,621,420.00
2025-09-01 10:30:00,MALARGUE,103.995,92.553,6,625,452.00
2025-09-01 10:40:00,MALARGUE,104.27,92.553,6,625,483.00
2025-09-01 10:50:00,MALARGUE,104.188,92.553,6,624,518.00
2025-09-01 11:00:00,MALARGUE,104.264,92.553,6,622,546.00
2025-09-01 11:10:00,MALARGUE,104.291,92.518,7,622,578.00
2025-09-01 11:20:00,MALARGUE,103.804,92.518,7,617,605.00
2025-09-01 11:30:00,MALARGUE,104.048,92.518,7,609,630.00
2025-09-01 11:40:00,MALARGUE,101.412,92.417,7,606,659.00
2025-09-01 11:50:00,MALARGUE,104.282,92.468,7,585,674.00
2025-09-01 12:00:00,MALARGUE,77.985,71.893,7,598,723.00
2025-09-01 12:10:00,MALARGUE,102.583,92.473,7,438,567.00
2025-09-01 12:20:00,MALARGUE,86.994,79.306,8,583,799.00
2025-09-01 12:30:00,MALARGUE,102.035,91.846,8,486,690.00
2025-09-01 12:40:00,MALARGUE,103.869,92.459,8,633,899.00
2025-09-01 12:50:00,MALARGUE,100.762,92.462,8,599,852.00
2025-09-01 13:00:00,MALARGUE,102.185,92.509,8,569,846.00
2025-09-01 13:10:00,MALARGUE,98.763,92.55,9,581,903.00
2025-09-01 13:20:00,MALARGUE,94.078,90.244,9,556,859.00
2025-09-01 13:30:00,MALARGUE,87.733,84.843,9,527,811.00
2025-09-01 13:40:00,MALARGUE,88.611,85.214,8,495,762.00
2025-09-01 13:50:00,MALARGUE,97.324,89.946,9,507,779.00
2025-09-01 14:00:00,MALARGUE,76.755,73.752,9,552,798.00
2025-09-01 14:10:00,MALARGUE,83.033,79.631,9,434,639.00
2025-09-01 14:20:00,MALARGUE,61.337,59.561,9,463,638.00
2025-09-01 14:30:00,MALARGUE,62.144,59.652,8,342,474.00
2025-09-01 14:40:00,MALARGUE,51.84,50.49,8,345,466.00
2025-09-01 14:50:00,MALARGUE,52.407,51.455,8,289,413.00
2025-09-01 15:00:00,MALARGUE,55.255,54.506,8,294,429.00
2025-09-01 15:10:00,MALARGUE,49.927,48.613,8,310,451.00
2025-09-01 15:20:00,MALARGUE,42.813,41.114,8,278,403.00
2025-09-01 15:30:00,MALARGUE,42.367,41.351,8,238,344.00
2025-09-01 15:40:00,MALARGUE,46.373,44.655,8,238,344.00
2025-09-01 15:50:00,MALARGUE,43.472,40.543,8,259,360.00
2025-09-01 16:00:00,MALARGUE,38.195,36.912,8,239,327.00
2025-09-01 16:10:00,MALARGUE,36.158,35.06,8,210,314.00
2025-09-01 16:20:00,MALARGUE,32.225,30.762,8,196,300.00
2025-09-01 16:30:00,MALARGUE,28.499,26.834,8,171,275.00
2025-09-01 16:40:00,MALARGUE,25.137,23.32,8,150,246.00
2025-09-01 16:50:00,MALARGUE,23.223,21.592,8,130,214.00
2025-09-01 17:00:00,MALARGUE,22.126,20.928,7,120,192.00
2025-09-01 17:10:00,MALARGUE,24.571,24.238,7,115,180.00
2025-09-01 17:20:00,MALARGUE,22.084,20.633,7,131,183.00
2025-09-01 17:30:00,MALARGUE,22.336,21.185,7,117,178.00
2025-09-01 17:40:00,MALARGUE,23.467,21.937,7,121,178.00
2025-09-01 17:50:00,MALARGUE,22.971,21.235,7,128,187.00
2025-09-01 18:00:00,MALARGUE,40.332,40.993,7,129,182.00
2025-09-01 18:10:00,MALARGUE,39.251,39.737,6,235,273.00
2025-09-01 18:20:00,MALARGUE,37.08,29.744,6,240,245.00
2025-09-01 18:30:00,MALARGUE,27.436,21.474,7,206,165.00
2025-09-01 18:40:00,MALARGUE,24.548,17.693,7,162,134.00
2025-09-01 18:50:00,MALARGUE,14.262,10.173,7,143,113.00
2025-09-01 19:00:00,MALARGUE,0.019,5.067,7,84,67.00
2025-09-01 19:10:00,MALARGUE,0.019,2.388,7,41,40.00
2025-09-01 19:20:00,MALARGUE,0.019,0.78,6,24,22.00
2025-09-01 19:30:00,MALARGUE,0.019,0.253,6,14,8.00
2025-09-01 19:40:00,MALARGUE,0.016,0.097,5,11,3.00
2025-09-01 19:50:00,MALARGUE,0.019,0.048,5,9,1.00
2025-09-01 20:00:00,MALARGUE,0.019,0.048,4,9,1.00
2025-09-01 20:10:00,MALARGUE,0,0.001,4,9,0.00
2025-09-01 20:20:00,MALARGUE,0,0,3,8,1.00
2025-09-01 20:30:00,MALARGUE,0,0,3,8,0.00
2025-09-01 20:40:00,MALARGUE,0,0,2,8,0.00
2025-09-01 20:50:00,MALARGUE,0,0,2,8,0.00
2025-09-01 21:00:00,MALARGUE,0.019,0.048,3,8,0.00
2025-09-01 21:10:00,MALARGUE,0,0.001,2,8,0.00
2025-09-01 21:20:00,MALARGUE,0,0,2,8,0.00
2025-09-01 21:30:00,MALARGUE,0,0,2,8,0.00
2025-09-01 21:40:00,MALARGUE,0,0,1,8,0.00
2025-09-01 21:50:00,MALARGUE,0,0,1,8,0.00
2025-09-01 22:00:00,MALARGUE,0,0,1,8,0.00
2025-09-01 22:10:00,MALARGUE,0,0,1,8,0.00
2025-09-01 22:20:00,MALARGUE,0,0,1,8,0.00
2025-09-01 22:30:00,MALARGUE,0,0,1,8,0.00
2025-09-01 22:40:00,MALARGUE,0,0,1,8,0.00
2025-09-01 22:50:00,MALARGUE,0,0,0,8,0.00
2025-09-01 23:00:00,MALARGUE,0,0,0,8,0.00
2025-09-01 23:10:00,MALARGUE,0,0,0,8,0.00
2025-09-01 23:20:00,MALARGUE,0,0,0,8,0.00
2025-09-01 23:30:00,MALARGUE,0,0,0,8,0.00
2025-09-01 23:40:00,MALARGUE,0,0,0,8,0.00
2025-09-01 23:50:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 00:00:00,MALARGUE,0,0,0,8,0.00
2025-09-02 00:10:00,MALARGUE,0,0,0,8,0.00
2025-09-02 00:20:00,MALARGUE,0,0,0,8,0.00
2025-09-02 00:30:00,MALARGUE,0,0,0,8,0.00
2025-09-02 00:40:00,MALARGUE,0,0,0,8,0.00
2025-09-02 00:50:00,MALARGUE,0,0,0,8,0.00
2025-09-02 01:00:00,MALARGUE,0,0,0,8,0.00
2025-09-02 01:10:00,MALARGUE,0,0,0,8,0.00
2025-09-02 01:20:00,MALARGUE,0,0,1,8,0.00
2025-09-02 01:30:00,MALARGUE,0,0,1,8,0.00
2025-09-02 01:40:00,MALARGUE,0,0,0,8,0.00
2025-09-02 01:50:00,MALARGUE,0,0,0,8,0.00
2025-09-02 02:00:00,MALARGUE,0,0,0,8,0.00
2025-09-02 02:10:00,MALARGUE,0,0,0,8,0.00
2025-09-02 02:20:00,MALARGUE,0,0,1,8,0.00
2025-09-02 02:30:00,MALARGUE,0,0,0,8,0.00
2025-09-02 02:40:00,MALARGUE,0,0,0,8,0.00
2025-09-02 02:50:00,MALARGUE,0,0,0,8,0.00
2025-09-02 03:00:00,MALARGUE,0,0,0,8,0.00
2025-09-02 03:10:00,MALARGUE,0,0,0,8,0.00
2025-09-02 03:20:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 03:30:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 03:40:00,MALARGUE,0,0,0,8,-1.00
2025-09-02 03:50:00,MALARGUE,0,0,0,8,-1.00
2025-09-02 04:00:00,MALARGUE,0,0,1,8,-1.00
2025-09-02 04:10:00,MALARGUE,0,0,1,8,0.00
2025-09-02 04:20:00,MALARGUE,0,0,1,8,-1.00
2025-09-02 04:30:00,MALARGUE,0,0,1,8,0.00
2025-09-02 04:40:00,MALARGUE,0,0,1,8,0.00
2025-09-02 04:50:00,MALARGUE,0,0,0,8,0.00
2025-09-02 05:00:00,MALARGUE,0,0,1,8,0.00
2025-09-02 05:10:00,MALARGUE,0,0,0,8,0.00
2025-09-02 05:20:00,MALARGUE,0,0,0,8,0.00
2025-09-02 05:30:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 05:40:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 05:50:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 06:00:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 06:10:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 06:20:00,MALARGUE,0,0,-1,7,-2.00
2025-09-02 06:30:00,MALARGUE,0,0,0,7,-2.00
2025-09-02 06:40:00,MALARGUE,0,0,0,8,-1.00
2025-09-02 06:50:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 07:00:00,MALARGUE,0,0,-1,8,0.00
2025-09-02 07:10:00,MALARGUE,0,0,0,8,-1.00
2025-09-02 07:20:00,MALARGUE,0,0,0,9,1.00
2025-09-02 07:30:00,MALARGUE,0,0,0,9,1.00
2025-09-02 07:40:00,MALARGUE,0,0,1,9,0.00
2025-09-02 07:50:00,MALARGUE,0,0,1,9,0.00
2025-09-02 08:00:00,MALARGUE,0,0.105,0,9,1.00
2025-09-02 08:10:00,MALARGUE,0,1.025,0,11,4.00
2025-09-02 08:20:00,MALARGUE,4.594,5.712,0,20,12.00
2025-09-02 08:30:00,MALARGUE,18.671,12.545,1,66,27.00
2025-09-02 08:40:00,MALARGUE,27.817,21.674,1,121,45.00
2025-09-02 08:50:00,MALARGUE,32.729,30.143,1,169,73.00
2025-09-02 09:00:00,MALARGUE,50.476,45.717,1,205,96.00
2025-09-02 09:10:00,MALARGUE,63.774,59.987,1,307,133.00
2025-09-02 09:20:00,MALARGUE,76.636,72.215,1,386,184.00
2025-09-02 09:30:00,MALARGUE,88.373,82.968,2,455,225.00
2025-09-02 09:40:00,MALARGUE,95.105,89.787,3,520,265.00
2025-09-02 09:50:00,MALARGUE,96.954,91.577,4,562,305.00
2025-09-02 10:00:00,MALARGUE,97.585,92.075,4,579,345.00
2025-09-02 10:10:00,MALARGUE,98.075,92.38,4,587,382.00
2025-09-02 10:20:00,MALARGUE,98.034,92.594,5,594,419.00
2025-09-02 10:30:00,MALARGUE,98.286,92.585,5,593,451.00
2025-09-02 10:40:00,MALARGUE,97.509,92.594,5,594,485.00
2025-09-02 10:50:00,MALARGUE,97.134,92.675,6,591,517.00
2025-09-02 11:00:00,MALARGUE,96.761,92.656,7,589,546.00
2025-09-02 11:10:00,MALARGUE,96.108,92.234,7,587,577.00
2025-09-02 11:20:00,MALARGUE,95.189,91.602,8,584,604.00
2025-09-02 11:30:00,MALARGUE,94.281,90.89,8,581,630.00
2025-09-02 11:40:00,MALARGUE,93.695,90.278,8,576,655.00
2025-09-02 11:50:00,MALARGUE,93.309,89.99,9,573,680.00
2025-09-02 12:00:00,MALARGUE,93.168,89.904,9,569,703.00
2025-09-02 12:10:00,MALARGUE,92.299,89.4,9,565,724.00
2025-09-02 12:20:00,MALARGUE,91.482,88.797,9,559,741.00
2025-09-02 12:30:00,MALARGUE,90.697,88.117,8,555,760.00
2025-09-02 12:40:00,MALARGUE,89.866,87.501,9,551,772.00
2025-09-02 12:50:00,MALARGUE,89.084,86.855,9,547,788.00
2025-09-02 13:00:00,MALARGUE,88.837,86.496,9,543,800.00
2025-09-02 13:10:00,MALARGUE,88.744,86.286,9,540,808.00
2025-09-02 13:20:00,MALARGUE,88.798,86.211,10,539,818.00
2025-09-02 13:30:00,MALARGUE,88.973,86.248,10,536,822.00
2025-09-02 13:40:00,MALARGUE,89.046,86.245,10,534,825.00
2025-09-02 13:50:00,MALARGUE,89.579,86.568,11,533,827.00
2025-09-02 14:00:00,MALARGUE,90.308,87.001,11,533,825.00
2025-09-02 14:10:00,MALARGUE,90.88,87.277,12,534,823.00
2025-09-02 14:20:00,MALARGUE,91.337,87.689,13,536,819.00
2025-09-02 14:30:00,MALARGUE,91.894,88.065,13,538,812.00
2025-09-02 14:40:00,MALARGUE,91.845,88.054,13,542,807.00
2025-09-02 14:50:00,MALARGUE,91.318,87.935,13,546,797.00
2025-09-02 15:00:00,MALARGUE,93.081,88.438,13,548,791.00
2025-09-02 15:10:00,MALARGUE,95.396,88.919,14,560,787.00
2025-09-02 15:20:00,MALARGUE,97.423,90.726,14,569,774.00
2025-09-02 15:30:00,MALARGUE,98.32,92.491,14,578,758.00
2025-09-02 15:40:00,MALARGUE,98.97,92.578,14,583,739.00
2025-09-02 15:50:00,MALARGUE,99.711,92.578,13,588,717.00
2025-09-02 16:00:00,MALARGUE,100.77,92.317,13,592,695.00
2025-09-02 16:10:00,MALARGUE,98.097,92.317,14,578,758.00
2025-09-02 16:20:00,MALARGUE,101.78,92.519,13,601,647.00
2025-09-02 16:30:00,MALARGUE,102.222,92.478,13,605,621.00
2025-09-02 16:40:00,MALARGUE,102.332,92.478,13,608,593.00
2025-09-02 16:50:00,MALARGUE,102.123,92.478,13,607,564.00
2025-09-02 17:00:00,MALARGUE,101.43,92.478,13,606,534.00
2025-09-02 17:10:00,MALARGUE,100.455,92.43,13,601,502.00
2025-09-02 17:20:00,MALARGUE,99.075,92.445,13,595,469.00
2025-09-02 17:30:00,MALARGUE,97.442,92.186,12,586,437.00
2025-09-02 17:40:00,MALARGUE,95.388,90.127,12,577,404.00
2025-09-02 17:50:00,MALARGUE,92.083,84.14,12,565,370.00
2025-09-02 18:00:00,MALARGUE,86.929,58.026,12,547,335.00
2025-09-02 18:10:00,MALARGUE,82.695,42.941,12,518,299.00
2025-09-02 18:20:00,MALARGUE,78.184,40.418,11,493,262.00
2025-09-02 18:30:00,MALARGUE,72.141,36.346,11,465,221.00
2025-09-02 18:40:00,MALARGUE,50.945,22.64,11,429,178.00
2025-09-02 18:50:00,MALARGUE,30.95,6.487,10,294,138.00
2025-09-02 19:00:00,MALARGUE,5.378,2.884,10,184,48.00
2025-09-02 19:10:00,MALARGUE,0.008,1.83,10,46,20.00
2025-09-02 19:20:00,MALARGUE,0.008,1.11,9,20,14.00
2025-09-02 19:30:00,MALARGUE,0.008,0.494,9,16,8.00
2025-09-02 19:40:00,MALARGUE,0.008,0.15,9,12,3.00
2025-09-02 19:50:00,MALARGUE,0.008,0.047,9,9,1.00
2025-09-02 20:00:00,MALARGUE,0.008,0.047,9,8,0.00
2025-09-02 20:10:00,MALARGUE,0,0.001,9,8,0.00
2025-09-02 20:20:00,MALARGUE,0,0,8,9,1.00
2025-09-02 20:30:00,MALARGUE,0,0,7,9,1.00
2025-09-02 20:40:00,MALARGUE,0,0,7,9,0.00
2025-09-02 20:50:00,MALARGUE,0,0,7,8,0.00
2025-09-02 21:00:00,MALARGUE,0.008,0.047,6,8,0.00
2025-09-02 21:10:00,MALARGUE,0,0.001,5,8,0.00
2025-09-02 21:20:00,MALARGUE,0,0,5,8,0.00
2025-09-02 21:30:00,MALARGUE,0,0,6,8,0.00
2025-09-02 21:40:00,MALARGUE,0,0,6,8,-1.00
2025-09-02 21:50:00,MALARGUE,0,0,7,8,-1.00
2025-09-02 22:00:00,MALARGUE,0,0,7,8,0.00
2025-09-02 22:10:00,MALARGUE,0,0,6,9,0.00
2025-09-02 22:20:00,MALARGUE,0,0,6,8,0.00
2025-09-02 22:30:00,MALARGUE,0,0,6,8,0.00
2025-09-02 22:40:00,MALARGUE,0,0,6,9,1.00
2025-09-02 22:50:00,MALARGUE,0,0,5,9,0.00
2025-09-02 23:00:00,MALARGUE,0,0,4,9,1.00
2025-09-02 23:10:00,MALARGUE,0,0,4,8,0.00
2025-09-02 23:20:00,MALARGUE,0,0,5,8,0.00
2025-09-02 23:30:00,MALARGUE,0,0,4,8,0.00
2025-09-02 23:40:00,MALARGUE,0,0,4,8,0.00
2025-09-02 23:50:00,MALARGUE,0,0,4,8,0.00
2025-09-03 00:00:00,MALARGUE,0,0,3,9,1.00
2025-09-03 00:10:00,MALARGUE,0,0,2,9,0.00
2025-09-03 00:20:00,MALARGUE,0,0,1,8,0.00
2025-09-03 00:30:00,MALARGUE,0,0,2,8,0.00
2025-09-03 00:40:00,MALARGUE,0,0,3,8,0.00
2025-09-03 00:50:00,MALARGUE,0,0,2,8,0.00
2025-09-03 01:00:00,MALARGUE,0,0,1,8,0.00
2025-09-03 01:10:00,MALARGUE,0,0,1,8,0.00
2025-09-03 01:20:00,MALARGUE,0,0,1,8,0.00
2025-09-03 01:30:00,MALARGUE,0,0,0,9,0.00
2025-09-03 01:40:00,MALARGUE,0,0,0,9,0.00
2025-09-03 01:50:00,MALARGUE,0,0,0,8,0.00
2025-09-03 02:00:00,MALARGUE,0,0,0,8,-1.00
2025-09-03 02:10:00,MALARGUE,0,0,0,8,0.00
2025-09-03 02:20:00,MALARGUE,0,0,0,8,0.00
2025-09-03 02:30:00,MALARGUE,0,0,1,8,0.00
2025-09-03 02:40:00,MALARGUE,0,0,1,8,0.00
2025-09-03 02:50:00,MALARGUE,0,0,0,8,0.00
2025-09-03 03:00:00,MALARGUE,0,0,0,8,-1.00
2025-09-03 03:10:00,MALARGUE,0,0,3,7,-1.00
2025-09-03 03:20:00,MALARGUE,0,0,2,8,0.00
2025-09-03 03:30:00,MALARGUE,0,0,2,8,0.00
2025-09-03 03:40:00,MALARGUE,0,0,2,8,0.00
2025-09-03 03:50:00,MALARGUE,0,0,1,8,0.00
2025-09-03 04:00:00,MALARGUE,0,0,1,8,0.00
2025-09-03 04:10:00,MALARGUE,0,0,0,8,1.00
2025-09-03 04:20:00,MALARGUE,0,0,1,8,-1.00
2025-09-03 04:30:00,MALARGUE,0,0,1,8,0.00
2025-09-03 04:40:00,MALARGUE,0,0,0,8,0.00
2025-09-03 04:50:00,MALARGUE,0,0,0,8,0.00
2025-09-03 05:00:00,MALARGUE,0,0,0,8,0.00
2025-09-03 05:10:00,MALARGUE,0,0,0,8,0.00
2025-09-03 05:20:00,MALARGUE,0,0,-1,8,0.00
2025-09-03 05:30:00,MALARGUE,0,0,-1,8,0.00
2025-09-03 05:40:00,MALARGUE,0,0,-1,8,0.00
2025-09-03 05:50:00,MALARGUE,0,0,-1,8,0.00
2025-09-03 06:00:00,MALARGUE,0,0,-1,8,0.00
2025-09-03 06:10:00,MALARGUE,0,0,-1,8,0.00
2025-09-03 06:20:00,MALARGUE,0,0,0,7,-2.00
2025-09-03 06:30:00,MALARGUE,0,0,-1,8,-1.00
2025-09-03 06:40:00,MALARGUE,0,0,-1,8,-1.00
2025-09-03 06:50:00,MALARGUE,0,0,-1,8,0.00
2025-09-03 07:00:00,MALARGUE,0,0,-1,8,1.00
2025-09-03 07:10:00,MALARGUE,0,0,-2,9,0.00
2025-09-03 07:20:00,MALARGUE,0,0,-2,9,0.00
2025-09-03 07:30:00,MALARGUE,0,0,-2,9,0.00
2025-09-03 07:40:00,MALARGUE,0,0,-3,8,0.00
2025-09-03 07:50:00,MALARGUE,0,0.008,-3,8,0.00
2025-09-03 08:00:00,MALARGUE,0,0.27,-3,9,2.00
2025-09-03 08:10:00,MALARGUE,0.002,1.955,-4,11,7.00
2025-09-03 08:20:00,MALARGUE,8.691,7.13,-4,34,18.00
2025-09-03 08:30:00,MALARGUE,21.351,16.236,-3,78,30.00
2025-09-03 08:40:00,MALARGUE,32.563,27.639,-2,137,48.00
2025-09-03 08:50:00,MALARGUE,44.018,39.77,-1,201,78.00
2025-09-03 09:00:00,MALARGUE,55.851,52.076,0,270,115.00
2025-09-03 09:10:00,MALARGUE,67.723,64.049,1,340,155.00
2025-09-03 09:20:00,MALARGUE,79.863,75.425,2,411,195.00
2025-09-03 09:30:00,MALARGUE,91.12,85.933,3,482,238.00
2025-09-03 09:40:00,MALARGUE,98.385,92.036,3,547,279.00
2025-09-03 09:50:00,MALARGUE,100.264,92.502,3,586,321.00
2025-09-03 10:00:00,MALARGUE,100.747,92.408,4,598,360.00
2025-09-03 10:10:00,MALARGUE,101.47,92.466,4,602,395.00
2025-09-03 10:20:00,MALARGUE,101.355,92.466,4,608,433.00
2025-09-03 10:30:00,MALARGUE,100.94,92.466,4,611,468.00
2025-09-03 10:40:00,MALARGUE,100.709,92.572,4,611,503.00
2025-09-03 10:50:00,MALARGUE,99.857,92.572,5,609,535.00
2025-09-03 11:00:00,MALARGUE,99.696,92.572,5,606,566.00
2025-09-03 11:10:00,MALARGUE,100.022,92.581,5,603,594.00
2025-09-03 11:20:00,MALARGUE,99.16,92.581,5,600,622.00
2025-09-03 11:30:00,MALARGUE,98.151,92.571,5,594,646.00
2025-09-03 11:40:00,MALARGUE,97.22,92,5,590,673.00
2025-09-03 11:50:00,MALARGUE,95.906,91.05,5,586,697.00
2025-09-03 12:00:00,MALARGUE,95.008,90.281,6,580,718.00
2025-09-03 12:10:00,MALARGUE,94.174,89.647,6,575,738.00
2025-09-03 12:20:00,MALARGUE,93.309,89.219,7,569,757.00
2025-09-03 12:30:00,MALARGUE,92.93,88.854,7,565,775.00
2025-09-03 12:40:00,MALARGUE,92.979,88.608,8,561,788.00
2025-09-03 12:50:00,MALARGUE,92.444,88.188,8,558,802.00
2025-09-03 13:00:00,MALARGUE,91.935,87.632,9,554,815.00
2025-09-03 13:10:00,MALARGUE,90.823,86.896,9,553,827.00
2025-09-03 13:20:00,MALARGUE,90.176,86.437,10,550,837.00
2025-09-03 13:30:00,MALARGUE,90.574,86.526,10,547,843.00
2025-09-03 13:40:00,MALARGUE,91.287,87.187,10,547,849.00
2025-09-03 13:50:00,MALARGUE,92.059,87.568,10,546,846.00
2025-09-03 14:00:00,MALARGUE,91.745,87.582,10,548,848.00
2025-09-03 14:10:00,MALARGUE,91.639,87.607,11,548,846.00
2025-09-03 14:20:00,MALARGUE,92.053,87.567,11,550,839.00
2025-09-03 14:30:00,MALARGUE,91.988,87.459,12,556,837.00
2025-09-03 14:40:00,MALARGUE,92.79,87.94,13,560,831.00
2025-09-03 14:50:00,MALARGUE,93.362,88.767,14,566,822.00
2025-09-03 15:00:00,MALARGUE,94.35,89.637,14,569,809.00
2025-09-03 15:10:00,MALARGUE,95.286,90.16,15,574,802.00
2025-09-03 15:20:00,MALARGUE,97.221,91.39,16,582,793.00
2025-09-03 15:30:00,MALARGUE,98.977,92.557,16,592,780.00
2025-09-03 15:40:00,MALARGUE,100.098,92.668,16,600,760.00
2025-09-03 15:50:00,MALARGUE,100.913,92.559,15,606,740.00
2025-09-03 16:00:00,MALARGUE,101.618,92.559,16,610,717.00
2025-09-03 16:10:00,MALARGUE,102.13,92.579,16,614,692.00
2025-09-03 16:20:00,MALARGUE,102.566,92.579,16,619,667.00
2025-09-03 16:30:00,MALARGUE,102.713,92.579,16,623,641.00
2025-09-03 16:40:00,MALARGUE,103.432,92.579,16,627,612.00
2025-09-03 16:50:00,MALARGUE,103.541,92.579,16,629,583.00
2025-09-03 17:00:00,MALARGUE,103.176,92.579,16,629,551.00
2025-09-03 17:10:00,MALARGUE,102.79,92.571,15,626,517.00
2025-09-03 17:20:00,MALARGUE,101.854,92.571,15,624,484.00
2025-09-03 17:30:00,MALARGUE,100.947,92.571,15,618,449.00
2025-09-03 17:40:00,MALARGUE,99.118,91.9,14,610,414.00
2025-09-03 17:50:00,MALARGUE,92.85,84.287,14,599,378.00
2025-09-03 18:00:00,MALARGUE,82.796,69.806,14,561,342.00
2025-09-03 18:10:00,MALARGUE,71.83,57.809,14,498,306.00
2025-09-03 18:20:00,MALARGUE,60.495,45.725,14,430,269.00
2025-09-03 18:30:00,MALARGUE,49.63,34.46,13,360,228.00
2025-09-03 18:40:00,MALARGUE,38.901,24.201,13,293,186.00
2025-09-03 18:50:00,MALARGUE,28.489,15.17,12,228,145.00
2025-09-03 19:00:00,MALARGUE,17.774,7.735,12,165,49.00
